Voter_ID,First_Name,Last_Name,DOB,Gender,Address,Pincode,Registration_Year,Last_Voted_Year,Masked_Aadhaar
APWDA2142433,Bhavna,Kaur,06-01-2005,Male,"723, Nath Nagar, Ville Mitra Nagar, Nangloi Jat, Karnataka",524541,2023,2024,XXXX-XXXX-4385
OREQX8681438,Abhimanyu,Nath,07-07-2001,Male,"584, Nagy Circle, Ville Chana Nagar, Jalna, Manipur",696205,2024,Never Voted,XXXX-XXXX-5374
HRGXN1057836,Eta,Naidu,05-11-1963,Male,"714, Gupta Circle, Ville Rana Nagar, Jamshedpur, Haryana",514271,1985,2009,XXXX-XXXX-8067
MHXHX4652886,Lavanya,Kibe,09-11-1955,Male,"998, Ganesan Circle, Ville Sodhi Nagar, Karnal, Jharkhand",370276,2012,2024,XXXX-XXXX-5846
RJCST7104215,Ikshita,Thaman,01-07-1979,Female,"965, Sangha Street, Ville Tank Nagar, Amroha, Mizoram",857209,2002,2009,XXXX-XXXX-8619
BRCQH5793263,Ansh,Swamy,17-06-1959,Female,"345, Jhaveri Street, Ville Biswas Nagar, Bareilly, Arunachal Pradesh",242506,2007,2019,XXXX-XXXX-6180
GJUGZ8729086,Urishilla,Mangal,17-03-1941,Male,"161, Mane Nagar, Ville Kar Nagar, Motihari, Odisha",483314,2014,2024,XXXX-XXXX-3274
MPGYK5299425,Mitesh,Khosla,01-05-1967,Male,"315, Dasgupta Circle, Ville Swaminathan Nagar, Ranchi, Arunachal Pradesh",818626,1985,1999,XXXX-XXXX-1145
UPIJN4469298,Matthew,Dara,01-11-1949,Female,"66, Wable Chowk, Ville Saraf Nagar, Katni, Maharashtra",823173,2018,2024,XXXX-XXXX-1901
PBESI5364163,Chaaya,Raju,06-02-1938,Female,"862, Mutti Zila, Ville Arya Nagar, Indore, Assam",727396,2010,Never Voted,XXXX-XXXX-4373
PBPKB3826620,Xavier,Bedi,04-04-1992,Female,"564, Kara Circle, Ville Ben Nagar, Haridwar, Karnataka",671335,2013,2024,XXXX-XXXX-9818
UPVSJ0805603,Rajeshri,Krishna,14-01-2004,Female,"964, Patla Marg, Ville Bhavsar Nagar, Karawal Nagar, Chhattisgarh",874694,2023,2024,XXXX-XXXX-0055
BRMBO8903087,Anya,Ramesh,09-10-1966,Male,"725, Barman Ganj, Ville Mitter Nagar, Guntur, Gujarat",253989,2018,2019,XXXX-XXXX-6094
GJZYJ4054009,Abha,Munshi,19-03-1983,Female,"921, Bobal Street, Ville Devan Nagar, Kurnool, Mizoram",332874,2016,2019,XXXX-XXXX-8011
PBRWZ7048369,Rishi,Bora,07-02-1973,Male,"133, Sahni Ganj, Ville Pal Nagar, Sangli-Miraj & Kupwad, West Bengal",223058,1995,2009,XXXX-XXXX-3690
ORFHM8709191,Brijesh,Saraf,23-05-1991,Male,"286, Konda Chowk, Ville Ram Nagar, Hapur, Assam",216519,2015,2019,XXXX-XXXX-4561
APHXE6579432,Jhalak,Sani,30-12-1947,Female,"369, Tailor Nagar, Ville Kunda Nagar, Katni, Kerala",394979,2005,2019,XXXX-XXXX-7143
MPLEL0301170,Wahab,Nayar,10-07-1950,Female,"311, Nath Path, Ville Mitter Nagar, Nashik, Telangana",251385,1986,2014,XXXX-XXXX-4881
DLTSH5500776,Henry,Goyal,24-03-1938,Male,"191, Ganesan Circle, Ville Bawa Nagar, Miryalaguda, Uttar Pradesh",446931,2022,2024,XXXX-XXXX-8864
GJOVE9018734,Forum,Mittal,20-10-1979,Male,"93, Apte, Ville Parsa Nagar, Ghaziabad, Sikkim",488960,2000,2009,XXXX-XXXX-1153
GJTDE1008140,Ridhi,Kannan,24-07-2007,Female,"415, Sehgal Road, Ville Mani Nagar, Bahraich, Mizoram",456070,2026,Never Voted,XXXX-XXXX-3756
KABSK1137613,Urvashi,Jhaveri,25-02-1998,Other,"102, Kaur Path, Ville Wadhwa Nagar, Orai, Assam",796672,2025,Never Voted,XXXX-XXXX-4179
ORPXQ0389215,Hemani,Das,18-06-1967,Female,"519, Gaba Nagar, Ville Modi Nagar, Hubli–Dharwad, Chhattisgarh",898623,1992,2004,XXXX-XXXX-1065
GJWQY7793697,Unni,Halder,25-07-1951,Female,"10, Wason Nagar, Ville Dass Nagar, Sirsa, Tripura",186998,1994,2009,XXXX-XXXX-3008
DLASA4372070,Vihaan,Sarkar,13-08-1983,Female,"764, Muni Marg, Ville Anne Nagar, Howrah, Gujarat",875775,2011,2019,XXXX-XXXX-5041
RJDDM2572511,Yamini,Thakur,12-08-1894,Male,"955, Bath Ganj, Ville Chokshi Nagar, Chennai, Maharashtra",320059,1983,2019,XXXX-XXXX-2088
APDOQ4668143,Ronith,Ahuja,07-10-2002,Male,"737, Jayaraman Nagar, Ville Gala Nagar, Vellore, Jharkhand",690715,2023,2024,XXXX-XXXX-6167
WBBJN4374189,Anamika,Chada,08-01-1954,Male,"402, Kashyap Ganj, Ville Chhabra Nagar, Pudukkottai, Andhra Pradesh",704551,1980,2019,XXXX-XXXX-8801
ORRMN2625870,Kashish,Chand,04-04-1982,Female,"496, D’Alia Marg, Ville Ganguly Nagar, Kolkata, Karnataka",339494,2010,2019,XXXX-XXXX-0780
MHXAV0564956,Nimrat,Gopal,14-04-1945,Female,"96, Nori Path, Ville Pai Nagar, Bidar, Assam",685144,1977,2009,XXXX-XXXX-6999
MHAYN8936317,Krishna,Atwal,10-10-2006,Female,"61, Choudhury Ganj, Ville Guha Nagar, Bhagalpur, Meghalaya",687870,2026,Never Voted,XXXX-XXXX-3827
APGKV0925277,Raghav,Varty,09-02-1956,Male,"485, Butala, Ville Bail Nagar, Surat, West Bengal",370717,2013,2019,XXXX-XXXX-3222
UPXYC1955149,Pahal,Prabhakar,14-12-1965,Male,"572, Ganesh, Ville Yohannan Nagar, Shimoga, Haryana",797610,1999,2019,XXXX-XXXX-4624
WBNSS0504487,Raagini,Kala,20-01-1955,Male,"584, Ranganathan Street, Ville Trivedi Nagar, Meerut, Manipur",612962,1995,2024,XXXX-XXXX-4032
KLJPV3421455,Unni,Nori,28-07-1971,Male,"576, Lanka Road, Ville Natarajan Nagar, Tumkur, Goa",230201,1994,1999,XXXX-XXXX-0298
TNMZA2828591,Tanmayi,Panchal,10-07-1941,Male,"651, Puri Circle, Ville Koshy Nagar, Panipat, Meghalaya",539847,1970,2014,XXXX-XXXX-3835
WBOYZ9826332,Avi,Sharma,13-05-1963,Female,"34, Bhat Ganj, Ville Das Nagar, Yamunanagar, Uttar Pradesh",210295,1982,2024,XXXX-XXXX-4844
MHMFA4519872,Tanvi,Mane,03-07-1999,Female,"949, Sha Road, Ville Mangat Nagar, Varanasi, West Bengal",116102,2020,2024,XXXX-XXXX-6978
MPEVK9792632,Yasti,Sachdev,26-10-1990,Female,"530, Kar Circle, Ville Nigam Nagar, Amroha, Andhra Pradesh",668590,2011,2019,XXXX-XXXX-4134
ORRNG1205597,Vaishnavi,Bahl,18-05-1958,Male,"613, Dugal Chowk, Ville Singhal Nagar, Hindupur, Rajasthan",217103,2022,2024,XXXX-XXXX-6523
UPQEK4120065,Laban,Karnik,09-10-1971,Male,"535, Bumb Path, Ville Dutta Nagar, Bijapur, Goa",516304,2011,2014,XXXX-XXXX-0652
MPVQH2883515,Omya,Dhar,23-06-1960,Male,"714, Chaudry Chowk, Ville Shah Nagar, Bikaner, West Bengal",353118,1981,Never Voted,XXXX-XXXX-4043
HRGZZ0396010,Gunbir,Bajaj,05-08-1949,Female,"602, Jaggi Chowk, Ville Pall Nagar, Kumbakonam, Mizoram",119118,1980,2014,XXXX-XXXX-1516
UPQYW1232568,Daniel,Bhagat,25-08-2004,Male,"787, Barad Nagar, Ville Arora Nagar, Bhubaneswar, Arunachal Pradesh",689761,2025,Never Voted,XXXX-XXXX-2899
PBMAV4796084,Yahvi,Nair,15-08-1987,Male,"434, Pathak Road, Ville Batta Nagar, Haldia, Himachal Pradesh",517815,2011,2019,XXXX-XXXX-7536
GJSXW6750233,Gayathree,Lad,05-10-1937,Female,"432, Naidu Path, Ville Bir Nagar, Motihari, Tamil Nadu",497965,1965,2009,XXXX-XXXX-3198
RJZEV5854586,Tejas,Wadhwa,18-02-1948,Male,"518, Thaman Marg, Ville Ben Nagar, Ludhiana, Uttar Pradesh",256071,2014,2024,XXXX-XXXX-8397
UPZDH6741992,Nidra,Behl,26-03-1876,Male,"468, Kashyap Nagar, Ville Wali Nagar, Bhimavaram, Meghalaya",689766,1953,1999,XXXX-XXXX-3156
UPPVW9668777,Qadim,Rout,28-01-1976,Female,"836, Grewal Nagar, Ville Balakrishnan Nagar, Dehri, Meghalaya",726308,2012,2024,XXXX-XXXX-6393
KLFMN5645891,Dayit,Kar,12-12-1992,Male,"691, Din Ganj, Ville Batra Nagar, Fatehpur, Punjab",226442,2010,Never Voted,XXXX-XXXX-2202
TNQHR6937162,Andre,Pal,16-12-1937,Female,"993, Pant Street, Ville Kannan Nagar, Mahbubnagar, Odisha",758106,1986,2014,XXXX-XXXX-6516
TNXHA0886469,Eta,Wali,10-01-1944,Female,"455, Sur Ganj, Ville Rajagopal Nagar, Bhind, Goa",234850,2018,2024,XXXX-XXXX-1513
GJAZC6894897,Bina,Kashyap,24-02-1957,Female,"446, Singh Marg, Ville Kohli Nagar, Bidhannagar, Tamil Nadu",694965,1995,1999,XXXX-XXXX-0729
DLVAZ4284103,Turvi,Gill,01-09-1937,Male,"63, Devan Circle, Ville Sunder Nagar, Karnal, Karnataka",273595,1955,2004,XXXX-XXXX-6111
DLCPJ4563630,Chaaya,Gour,01-10-1952,Male,"175, Narasimhan Path, Ville Biswas Nagar, Rajkot, Telangana",762573,1976,2004,XXXX-XXXX-9717
RJFDH6932886,Eshana,Kari,19-08-2000,Male,"228, Khalsa Zila, Ville Iyengar Nagar, Muzaffarnagar, Assam",500039,2019,2024,XXXX-XXXX-9574
DLVTJ3463612,Abeer,Dey,02-09-1944,Male,"706, Sengupta Path, Ville Khatri Nagar, Bhusawal, Jharkhand",820640,2015,2024,XXXX-XXXX-5794
UPBSD4503312,Bina,Prashad,15-08-2001,Female,"96, Rastogi Street, Ville Kapoor Nagar, Surendranagar Dudhrej, Sikkim",746832,2022,2024,XXXX-XXXX-6305
WBIQF5642523,Abeer,Suri,05-10-1988,Male,"530, Sabharwal Ganj, Ville Chaudhry Nagar, Ambala, Odisha",642658,2010,2024,XXXX-XXXX-0072
HRDLH4615331,Bhavini,Loke,02-11-1999,Male,"124, Kapoor Chowk, Ville Kala Nagar, Bareilly, Uttarakhand",540568,2022,2024,XXXX-XXXX-0545
PBWQP6728650,Vasudha,Ramanathan,04-05-1943,Male,"127, Batra Street, Ville Yohannan Nagar, Bhopal, Meghalaya",636137,1982,2009,XXXX-XXXX-8317
RJSOY5667825,Nicholas,Batta,16-05-1938,Female,"321, Natt Zila, Ville Sur Nagar, Begusarai, Kerala",149643,1960,2014,XXXX-XXXX-0506
WBSSA9408175,Xavier,Kuruvilla,08-10-1938,Male,"851, Seshadri Road, Ville Kara Nagar, Alappuzha, Himachal Pradesh",324994,1971,1999,XXXX-XXXX-4993
MPHGZ5139224,Anamika,Golla,08-09-1977,Female,"614, Dar Circle, Ville Keer Nagar, Bhavnagar, Tripura",792065,2017,2024,XXXX-XXXX-4310
APXFF9846572,Balveer,Gaba,23-11-1877,Male,"990, Deo Marg, Ville Murty Nagar, Warangal, Chhattisgarh",246563,1961,2024,XXXX-XXXX-2738
MHJXQ0165373,Lohit,Pillai,13-03-1960,Male,"971, Bala Nagar, Ville Shukla Nagar, Bhusawal, Karnataka",637708,2004,2009,XXXX-XXXX-4025
DLDHL8239423,Umang,Bakshi,30-12-2007,Female,"317, Shukla Street, Ville Nadkarni Nagar, Gopalpur, West Bengal",449014,2026,Never Voted,XXXX-XXXX-3970
HRQSL6116734,Neha,Ray,15-07-1974,Female,"357, Gara Circle, Ville Sur Nagar, Amaravati, Haryana",836912,1992,1999,XXXX-XXXX-2009
KAOIP4696606,Unni,Borah,24-04-1961,Female,"77, Choudhry Street, Ville Munshi Nagar, Ahmednagar, Uttarakhand",356940,1981,2019,XXXX-XXXX-2389
WBKTD1874111,Imaran,Sankar,28-05-1972,Male,"364, Parekh Road, Ville Kuruvilla Nagar, Bahraich, Nagaland",224580,2013,2024,XXXX-XXXX-8944
RJGHA6867058,Veda,Borah,20-12-1979,Male,"712, Wadhwa Marg, Ville Taneja Nagar, Bilaspur, Uttar Pradesh",485708,2016,2019,XXXX-XXXX-7827
BRCQD8712962,Harita,Ramaswamy,17-03-2006,Female,"353, Bobal Road, Ville Dugar Nagar, Serampore, West Bengal",781981,2025,Never Voted,XXXX-XXXX-5363
BRSUI2054075,Qadim,Taneja,15-11-1995,Male,"571, Korpal Path, Ville Sule Nagar, Tezpur, Manipur",820610,2025,Never Voted,XXXX-XXXX-7635
DLAZX8952671,Xiti,Parmer,16-09-1941,Female,"893, Sehgal Marg, Ville Brahmbhatt Nagar, Jhansi, Sikkim",497039,1993,2009,XXXX-XXXX-7483
UPWBP2596153,Nakul,Mukhopadhyay,24-06-1981,Male,"990, Wali Path, Ville Balay Nagar, Korba, Bihar",203895,2014,2024,XXXX-XXXX-2011
KLTAB5206862,Ekani,Nair,06-06-1946,Male,"709, Golla Street, Ville Garde Nagar, Kolhapur, Tamil Nadu",546113,2023,2024,XXXX-XXXX-9578
ORWTC0083866,Yauvani,Handa,09-01-1950,Female,"224, Sood, Ville Pal Nagar, Bhopal, Nagaland",592994,2013,Never Voted,XXXX-XXXX-2569
KLOAC2978578,Indira,Som,16-10-1959,Male,"824, Agarwal, Ville Kota Nagar, Bhubaneswar, Arunachal Pradesh",378365,1984,2019,XXXX-XXXX-8745
MHIRZ5609943,Tristan,Vora,17-07-1948,Female,"696, Bath Street, Ville Parekh Nagar, Pimpri-Chinchwad, Manipur",151881,2003,Never Voted,XXXX-XXXX-8893
BRQMH6386480,Vrinda,Mammen,31-12-1959,Female,"744, Barad Path, Ville Tiwari Nagar, Jamshedpur, Manipur",263571,2012,2014,XXXX-XXXX-1633
APSER5080462,Arjun,Sarna,28-10-1956,Female,"935, Bhasin Chowk, Ville Rao Nagar, Bharatpur, Madhya Pradesh",198982,1995,2009,XXXX-XXXX-6700
HRUMO0222443,Victor,Panchal,31-12-1974,Male,"268, More Chowk, Ville Dugal Nagar, Purnia, Maharashtra",168562,2016,2024,XXXX-XXXX-2142
APZUW5178251,Advaith,Gara,19-03-2004,Female,"421, Hayer Street, Ville Rout Nagar, Rourkela, Punjab",419054,2026,Never Voted,XXXX-XXXX-8308
BRWSS4557052,Girish,Bava,26-12-1976,Female,"732, Khatri Zila, Ville Kakar Nagar, Tadipatri, Haryana",481144,2004,Never Voted,XXXX-XXXX-6172
HRAYC5969068,Watika,Muni,26-02-1992,Male,"445, Agate Zila, Ville Patla Nagar, Morbi, Telangana",812931,2023,2024,XXXX-XXXX-8492
APHPP7787366,Netra,Bir,05-01-1994,Female,"820, Balan Nagar, Ville Kata Nagar, Aligarh, Meghalaya",528049,2012,2019,XXXX-XXXX-1437
MHITC7651555,Kashvi,Guha,26-01-1913,Male,"296, Viswanathan Chowk, Ville Kala Nagar, Bidhannagar, Arunachal Pradesh",361899,2000,Never Voted,XXXX-XXXX-7183
BRVGS3793641,Raksha,Mangal,23-05-1941,Male,"383, Shroff Zila, Ville Guha Nagar, Barasat, Gujarat",788261,2017,2024,XXXX-XXXX-1837
WBFDX7802723,Upma,Butala,05-05-1975,Female,"394, Babu Zila, Ville Thakkar Nagar, Kirari Suleman Nagar, Tripura",532300,2012,2014,XXXX-XXXX-4898
RJWAS1992022,Megha,Sandal,24-04-1894,Male,"397, Sarin Road, Ville Comar Nagar, Durg, Himachal Pradesh",585707,1963,2009,XXXX-XXXX-7416
TNHRZ4280361,Saksham,Dar,30-12-1938,Female,"178, Raman, Ville Handa Nagar, Gudivada, Assam",301501,2021,2024,XXXX-XXXX-3155
KAEEX1471555,Pushti,Raja,28-12-1999,Female,"713, Bhargava Road, Ville Ramachandran Nagar, Pondicherry, Odisha",191028,2024,2024,XXXX-XXXX-4412
GJQZQ4822298,Ekani,Jayaraman,16-05-1937,Male,"481, Venkatesh Chowk, Ville Dalal Nagar, Shahjahanpur, Gujarat",446065,1990,1999,XXXX-XXXX-3832
PBWWS5170969,Vrinda,Nagi,18-04-1984,Female,"27, Acharya Zila, Ville Rana Nagar, Navi Mumbai, Punjab",864777,2006,Never Voted,XXXX-XXXX-0544
GJYSJ0614993,Charan,Bansal,12-06-1914,Male,"993, Dube Road, Ville Ranganathan Nagar, Jamalpur, Kerala",436499,2005,2009,XXXX-XXXX-9721
GJJYZ3043211,Zayyan,Kapoor,03-06-1996,Male,"977, Raju Street, Ville Yadav Nagar, Rajpur Sonarpur, Goa",815968,2024,2024,XXXX-XXXX-0262
HRPQX4758032,Yatan,Vig,22-12-1936,Male,"573, Peri Street, Ville Sastry Nagar, Erode, Punjab",777512,1985,2024,XXXX-XXXX-1128
APBYW3135902,Advik,Sabharwal,23-01-1996,Other,"243, Vohra Zila, Ville Sehgal Nagar, Muzaffarnagar, Telangana",822141,2022,2024,XXXX-XXXX-1476
MHTOA9981542,Dhriti,Subramaniam,26-09-1974,Female,"891, Ghosh Road, Ville Raman Nagar, Noida, Karnataka",692669,2019,2019,XXXX-XXXX-3750
PBGJQ0414111,Mohammed,Trivedi,05-10-1995,Female,"615, Wali Chowk, Ville Dutta Nagar, Guntur, Telangana",393245,2016,2019,XXXX-XXXX-9248
TNGJF6624989,Amaira,Deo,27-09-1958,Female,"159, Pal Zila, Ville Pradhan Nagar, Ranchi, Karnataka",146660,2017,2019,XXXX-XXXX-1548
KAFFE2318264,Aayush,Om,09-02-1962,Male,"563, Naik Chowk, Ville Ravi Nagar, Farrukhabad, Meghalaya",653764,2017,2024,XXXX-XXXX-9366
UPAPR1914334,Elijah,Deshpande,18-03-1972,Male,"327, Manda Street, Ville Sarraf Nagar, Satara, Arunachal Pradesh",239903,2012,2014,XXXX-XXXX-3605
MPHIY4781368,Diya,Viswanathan,30-11-1983,Male,"635, Zacharia Nagar, Ville Gulati Nagar, Tadipatri, Maharashtra",176048,2014,2019,XXXX-XXXX-9947
TNWYN6895832,Isaac,Sachdeva,22-12-1950,Male,"980, Sekhon Zila, Ville Madan Nagar, Surendranagar Dudhrej, Odisha",696335,1971,1999,XXXX-XXXX-3202
TNZFG0227700,Warhi,Gulati,17-04-1954,Female,"317, Dhawan Chowk, Ville Raja Nagar, Madanapalle, Uttarakhand",419914,1983,Never Voted,XXXX-XXXX-2552
DLATV4169801,Leela,Kakar,10-01-1954,Male,"897, Doshi Ganj, Ville Raman Nagar, Ratlam, Odisha",860000,1976,Never Voted,XXXX-XXXX-9364
